ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
84,FRRouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM",https://summerofcode.withgoogle.com/programs/2022/organizations/frrouting,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
85,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/programs/2022/organizations/gentoo-foundation,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
86,Haskell.org,Purely functional programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/haskellorg,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
87,Machine Learning for Science (ML4SCI),Machine learning applications in science,https://summerofcode.withgoogle.com/programs/2022/organizations/machine-learning-for-science-ml4sci,3,0
88,LEAP Encryption Access Project,Privacy should not be a priviledge,https://summerofcode.withgoogle.com/programs/2022/organizations/leap-encryption-access-project,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
89,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2022/organizations/postgresql,4,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
90,Django Software Foundation,Web framework for perfectionists with deadlines,https://summerofcode.withgoogle.com/programs/2022/organizations/django-software-foundation-8o,1,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
91,Responsible AI and Human Centred Technology,Human-centered and responsible AI for all,https://summerofcode.withgoogle.com/programs/2022/organizations/responsible-ai-and-human-centred-technology,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
92,Git,"Fast,Scalable,Distributed revision control system",https://summerofcode.withgoogle.com/programs/2022/organizations/git,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
93,OpenAFS,An opensource distributed filesystem product.,https://summerofcode.withgoogle.com/programs/2022/organizations/openafs,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
94,Plone Foundation,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2022/organizations/plone-foundation,3,1
